Model directory: /root/../pvcvolume/idm_attacker/
INFO:__main__:Starting PPO training...
INFO:__main__:Environment: idm, Workers: 4, Total Timesteps: 1000000
INFO:__main__:Hyperparameters: gamma=0.9, lambda=0.9, clip_eps=0.2, lr=0.0003
INFO:__main__:Batch Size (Workers * Steps): 1024
INFO:__main__:Total PPO Updates: 976
INFO:__main__:Update: 1/976, Timesteps: 1024/1000000, FPS: 48, Episodes: 19, Avg Reward (Last 100): -0.84, Avg Length (Last 100): 48.63
INFO:__main__:Update: 2/976, Timesteps: 2048/1000000, FPS: 49, Episodes: 38, Avg Reward (Last 100): -0.68, Avg Length (Last 100): 48.34
INFO:__main__:Update: 3/976, Timesteps: 3072/1000000, FPS: 52, Episodes: 52, Avg Reward (Last 100): -0.48, Avg Length (Last 100): 49.50
INFO:__main__:Update: 4/976, Timesteps: 4096/1000000, FPS: 51, Episodes: 66, Avg Reward (Last 100): -0.27, Avg Length (Last 100): 51.62
INFO:__main__:Update: 5/976, Timesteps: 5120/1000000, FPS: 54, Episodes: 80, Avg Reward (Last 100): -0.10, Avg Length (Last 100): 52.36
INFO:__main__:Update: 6/976, Timesteps: 6144/1000000, FPS: 51, Episodes: 94, Avg Reward (Last 100): -0.01, Avg Length (Last 100): 53.46
INFO:__main__:Update: 7/976, Timesteps: 7168/1000000, FPS: 51, Episodes: 109, Avg Reward (Last 100): -0.01, Avg Length (Last 100): 54.90
INFO:__main__:Update: 8/976, Timesteps: 8192/1000000, FPS: 56, Episodes: 120, Avg Reward (Last 100): 0.29, Avg Length (Last 100): 56.85
INFO:__main__:Update: 9/976, Timesteps: 9216/1000000, FPS: 56, Episodes: 129, Avg Reward (Last 100): 0.29, Avg Length (Last 100): 58.06
INFO:__main__:Update: 10/976, Timesteps: 10240/1000000, FPS: 53, Episodes: 143, Avg Reward (Last 100): 0.35, Avg Length (Last 100): 59.33
INFO:__main__:Update: 11/976, Timesteps: 11264/1000000, FPS: 49, Episodes: 160, Avg Reward (Last 100): 0.44, Avg Length (Last 100): 58.44
INFO:__main__:Update: 12/976, Timesteps: 12288/1000000, FPS: 49, Episodes: 179, Avg Reward (Last 100): 0.50, Avg Length (Last 100): 57.41
INFO:__main__:Update: 13/976, Timesteps: 13312/1000000, FPS: 51, Episodes: 198, Avg Reward (Last 100): 0.56, Avg Length (Last 100): 54.76
INFO:__main__:Update: 14/976, Timesteps: 14336/1000000, FPS: 51, Episodes: 216, Avg Reward (Last 100): 0.44, Avg Length (Last 100): 53.30
INFO:__main__:Update: 15/976, Timesteps: 15360/1000000, FPS: 52, Episodes: 230, Avg Reward (Last 100): 0.32, Avg Length (Last 100): 53.70
INFO:__main__:Update: 16/976, Timesteps: 16384/1000000, FPS: 52, Episodes: 246, Avg Reward (Last 100): 0.38, Avg Length (Last 100): 52.68
INFO:__main__:Update: 17/976, Timesteps: 17408/1000000, FPS: 50, Episodes: 263, Avg Reward (Last 100): 0.26, Avg Length (Last 100): 53.05
INFO:__main__:Update: 18/976, Timesteps: 18432/1000000, FPS: 50, Episodes: 276, Avg Reward (Last 100): 0.29, Avg Length (Last 100): 53.78
INFO:__main__:Update: 19/976, Timesteps: 19456/1000000, FPS: 53, Episodes: 288, Avg Reward (Last 100): 0.26, Avg Length (Last 100): 55.21
INFO:__main__:Update: 20/976, Timesteps: 20480/1000000, FPS: 53, Episodes: 300, Avg Reward (Last 100): 0.32, Avg Length (Last 100): 56.27
INFO:__main__:Update: 21/976, Timesteps: 21504/1000000, FPS: 51, Episodes: 311, Avg Reward (Last 100): 0.32, Avg Length (Last 100): 57.42
INFO:__main__:Update: 22/976, Timesteps: 22528/1000000, FPS: 53, Episodes: 321, Avg Reward (Last 100): 0.38, Avg Length (Last 100): 58.15
INFO:__main__:Update: 23/976, Timesteps: 23552/1000000, FPS: 55, Episodes: 332, Avg Reward (Last 100): 0.41, Avg Length (Last 100): 59.16
INFO:__main__:Update: 24/976, Timesteps: 24576/1000000, FPS: 50, Episodes: 346, Avg Reward (Last 100): 0.47, Avg Length (Last 100): 60.16
INFO:__main__:Update: 25/976, Timesteps: 25600/1000000, FPS: 51, Episodes: 363, Avg Reward (Last 100): 0.47, Avg Length (Last 100): 61.34
